9788804639701	Dracula	00000015	2014	Mondadori	Horror/Classico
9788804627807	I racconti del terrore	00000014	2013	Mondadori	Horror
9788864110325	L’esorcista	00000013	2009	Fazi Editore	Horror
9780140620306	Frankestein	00000012	1994	Puffin Classics	Horror
9788868360269	It	00000011	2013	Sperling & Kupfer 	Horror
9788868361259	Pet Sematary	00000011	2013	Sperling & Kupfer	Horror
9788845246005	L’ombra dello scorpione	00000011	1985	Bompiani	Horror
9788807900587	Il ritratto di Dorian Gray	00000010	2013	Feltrinelli	Horror
9788809772878	Lo strano caso del dr. Jekyll e di Mr. Hyde	00000009	2012	Giunti Editore	Horror
9788848603683	Il Signore degli Anelli: La compagnia dell'anello	 00000008	2007	Bompiani	Fantasy
9788848603706	Il Signore degli Anelli: Le due torri	 00000008	2007	Bompiani	Fantasy
9788848603720	Il Signore degli Anelli: Il ritorno del re	 00000008	2007	Bompiani	Fantasy
9788845268342	Il Signore degli Anelli: Lo Hobbit	00000008	2012	Bompiani	Fantasy
9788845272400	Il Signore degli Anelli: Il Silmarillion	00000008	2013	Bompiani	Fantasy
9788877827029	Harry Potter e la Pietra Filosofale	00000007	Salani	1997	Fantasy
9788884516114	Harry Potter e la Camera dei Segreti	00000007	Salani	1999	Fantasy
9780828895965	Harry Potter e il Prigioniero di Azkaban	00000007	Salani	2000	Fantasy
9788867152681	Harry Potter e il Calice di Fuoco	00000007	Salani	2001	Fantasy
9788862561723	Harry Potter e l'Ordine della Fenice	00000007	Salani	2003	Fantasy
9788884516374	Harry Potter e il Principe Mezzosangue	00000007	Salani	2005	Fantasy
9788867158188	Harry Potter e i Doni della Morte	00000007	Salani	2007	Fantasy
9788804641728	Guida galattica per gli autostoppisti	 00000006	Mondadori	2014	Fantascienza
9788804507949	Ristorante al termine dell'Universo	00000006	Mondadori	2002	Fantascienza
9788804517580	La vita, l'Universo e tutto quanto	00000006	Mondadori	2003	Fantascienza
9788804641759	Addio, e grazie per tutto il pesce	00000006	Mondadori	2014	Fantascienza
9788804572114	Praticamente innocuo	00000006	Mondadori	2007	Fantascienza
9788804401841	Preludio alla fondazione	00000005	Mondadori	1994	Fantascienza
9788804373308	Fondazione anno zero	00000005	Mondadori	1993	Fantascienza
9788804395942	Cronache della galassia	00000005	Mondadori	1994	Fantascienza
9788804119142	Il crollo della galassia centrale	00000005	Mondadori	1994	Fantascienza
9788804406822	L'altra faccia della spirale	00000005	Mondadori	1994	Fantascienza
9788804398165	L'orlo della fondazione	00000005	Mondadori	1995	Fantascienza
9788804403029	Fondazione e Terra	00000005	Mondadori	1995	Fantascienza
9788804314660	Amleto	00000004	Mondadori	1993	Classico
9788806176938	Odissea	00000003	Einaudi	2005	Classico
9788804534396	Grandi speranze	00000002	Mondadori	2004	Classico
9788809766013 	Viaggio al centro della terra 	00000001	Giunti Editores 	2011 	Classico
